Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
7.95126,0.00565476,,,,,,,,,,,,,,,,,,,,,,,
8.32009,0.0059812,,,,,,,,,,,,,,,,,,,,,,,
8.70833,0.00657448,,,,,,,,,,,,,,,,,,,,,,,
9.117,0.00728893,,,,,,,,,,,,,,,,,,,,,,,
9.54718,0.0081798,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0147917,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0149027,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0150204,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0151443,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0152751,,,,,,,,,,,,,,,,,,,,,,,
10,-0.015413,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0155587,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0157126,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0158752,,,,,,,,,,,,,,,,,,,,,,,
10,-0.016047,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0162288,,,,,,,,,,,,,,,,,,,,,,,
10,-0.016421,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0166245,,,,,,,,,,,,,,,,,,,,,,,
10,-0.01684,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0170683,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0173103,,,,,,,,,,,,,,,,,,,,,,,
10,-0.017567,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0178394,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0181288,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0184364,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0187636,,,,,,,,,,,,,,,,,,,,,,,
10,-0.019112,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0194833,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0198795,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0203025,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0207546,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0212381,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0217556,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0223094,,,,,,,,,,,,,,,,,,,,,,,
10,-0.022902,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0235354,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0242113,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0249302,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0256914,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0264924,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0273279,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0281899,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0290662,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0299409,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0307934,,,,,,,,,,,,,,,,,,,,,,,
