"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         216,      -4.679577399,      -3.825803086,      -3.653446077,      -2.193169942,      -9.842626162
          0,           0,         217,      -4.679545857,      -3.832604283,      -3.659686885,      -2.193148405,      -9.841645368
          0,           0,         218,      -4.679189997,      -3.837998805,      -3.664954676,      -2.192802868,      -9.840581459
          0,           0,         219,      -4.678552551,      -3.841803317,      -3.669133551,      -2.192174742,      -9.839430358
          0,           0,         220,      -4.677682397,      -3.843916388,      -3.672155768,      -2.191311873,      -9.838195356
          0,           0,         221,      -4.676634004,      -3.844328254,      -3.674006002,      -2.190268103,      -9.836871437
          0,           0,         222,      -4.675466388,      -3.843120215,      -3.674721428,       -2.18910227,      -9.835442329
          0,           0,         223,      -4.674241588,      -3.840453842,      -3.674387595,      -2.187876691,      -9.833900074
          0,           0,         224,      -4.673022761,      -3.836552418,      -3.673130775,      -2.186655218,      -9.832247143
          0,           0,         225,      -4.671872059,      -3.831678487,      -3.671107993,      -2.185501028,      -9.830508733
          0,           0,         226,      -4.670848446,      -3.826111504,      -3.668496122,      -2.184474343,      -9.828658191
          0,           0,         227,      -4.670005637,       -3.82012865,      -3.665481309,      -2.183630252,      -9.826669054
          0,           0,         228,      -4.669390299,      -3.813990424,      -3.662249707,      -2.183016801,      -9.824563771
          0,           0,         229,      -4.669040624,      -3.807931355,      -3.658980035,      -2.182673461,      -9.822340312
          0,           0,         230,      -4.668985339,       -3.80215522,      -3.655838117,       -2.18263005,      -9.819973641
          0,           0,         231,       -4.66924319,      -3.796833746,      -3.652973251,      -2.182906141,      -9.817460893
          0,           0,         232,      -4.669822886,      -3.792107656,      -3.650516116,      -2.183510954,      -9.814816525
          0,           0,         233,       -4.67072348,      -3.788089125,      -3.648577837,      -2.184443704,      -9.812033228
          0,           0,         234,      -4.671935138,      -3.784864839,      -3.647249853,      -2.185694352,      -9.809141352
          0,           0,         235,      -4.673440222,      -3.782499176,      -3.646604262,      -2.187244689,       -9.80613949
          0,           0,         236,       -4.67521463,      -3.781037159,      -3.646694413,      -2.189069695,      -9.803003013
          0,           0,         237,      -4.677229305,       -3.78050699,      -3.647555529,      -2.191139087,      -9.799762954
          0,           0,         238,      -4.679451829,      -3.780922045,      -3.649205255,      -2.193418954,      -9.796394057
          0,           0,         239,      -4.681848016,      -3.782282332,      -3.651644033,      -2.195873427,      -9.792919979
          0,           0,         240,      -4.684383439,      -3.784575412,      -3.654855279,      -2.198466268,      -9.789360085
          0,           0,         241,      -4.687024785,      -3.787776741,      -3.658805341,      -2.201162315,      -9.785715776
          0,           0,         242,      -4.689741003,      -3.791849534,      -3.663443282,      -2.203928717,      -9.781995392
          0,           0,         243,      -4.692504188,      -3.796744131,      -3.668700557,      -2.206735897,      -9.778194436
          0,           0,         244,      -4.695290185,      -3.802396966,      -3.674490693,      -2.209558233,      -9.774340024
          0,           0,         245,      -4.698078885,      -3.808729199,      -3.680709176,      -2.212374422,      -9.770467263
          0,           0,         246,      -4.700854247,      -3.815645189,      -3.687233728,      -2.215167554,      -9.766559701
          0,           0,         247,      -4.703604083,      -3.823031066,      -3.693925291,      -2.217924926,      -9.762650706
          0,           0,         248,      -4.706319628,      -3.830753564,      -3.700630008,      -2.220637636,       -9.75872553
          0,           0,         249,      -4.708994989,      -3.838659587,      -3.707182536,      -2.223300028,       -9.75478581
          0,           0,         250,      -4.711626497,      -3.846576921,      -3.713410917,      -2.225909033,      -9.750833116
          0,           0,         251,      -4.714212041,      -3.854316667,       -3.71914312,      -2.228463472,      -9.746878894
          0,           0,         252,      -4.716750407,      -3.861677844,      -3.724215109,      -2.230963365,      -9.742920489
          0,           0,         253,      -4.719240676,      -3.868454551,      -3.728479956,      -2.233409278,      -9.739012047
          0,           0,         254,      -4.721681694,      -3.874445696,      -3.731817219,      -2.235801747,      -9.735127664
          0,           0,         255,      -4.724071634,      -3.879466815,      -3.734141483,      -2.238140786,       -9.73129525
          0,           0,         256,      -4.726407657,      -3.883363001,      -3.735408935,      -2.240425491,       -9.72754652
          0,           0,         257,      -4.728685672,      -3.886021258,      -3.735620976,      -2.242653746,       -9.72388321
          0,           0,         258,      -4.730900204,      -3.887380505,      -3.734824288,      -2.244822027,       -9.72030409
          0,           0,         259,      -4.733044348,      -3.887437466,      -3.733107347,      -2.246925305,      -9.716813312
          0,           0,         260,      -4.735109839,      -3.886247362,      -3.730593957,      -2.248957054,      -9.713415052
          0,           0,         261,      -4.737087202,      -3.883919268,      -3.727434778,      -2.250909358,      -9.710116611
          0,           0,         262,      -4.738966015,      -3.880606973,      -3.723798016,      -2.252773107,      -9.706921114
          0,           0,         263,      -4.740735256,      -3.876496957,      -3.719860355,      -2.254538311,      -9.703832747
          0,           0,         264,      -4.742383735,      -3.871795324,      -3.715798965,      -2.256194496,      -9.700865518
          0,           0,         265,      -4.743900617,      -3.866715422,      -3.711785062,      -2.257731188,      -9.698028321
          0,           0,         266,       -4.74527599,      -3.861467298,      -3.707979186,      -2.259138468,      -9.695323028
          0,           0,         267,       -4.74650148,      -3.856249637,        -3.7045281,      -2.260407589,      -9.692788139
          0,           0,         268,       -4.74757088,       -3.85124428,      -3.701563048,        -2.2615316,      -9.690452613
          0,           0,         269,      -4.748480762,      -3.846613045,      -3.699199072,       -2.26250599,      -9.688312893
          0,           0,         270,      -4.749231033,      -3.842496334,      -3.697535043,      -2.263329278,      -9.686347611
          0,           0,         271,      -4.749825415,       -3.83901313,      -3.696654122,      -2.264003546,      -9.684509405
          0,           0,         272,       -4.75027181,      -3.836261724,      -3.696624404,      -2.264534861,      -9.682748164
          0,           0,         273,      -4.750582529,      -3.834320938,      -3.697499536,      -2.264933578,      -9.681049753
