"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
0.027552662,1.084991667,,,,,,,,,,,,,
0.0275416,1.085083397,,,,,,,,,,,,,
0.027530344,1.085175216,,,,,,,,,,,,,
0.027518906,1.085267128,,,,,,,,,,,,,
0.027507297,1.085359134,,,,,,,,,,,,,
0.027495523,1.085451204,,,,,,,,,,,,,
0.027483583,1.085543322,,,,,,,,,,,,,
0.027471468,1.085635462,,,,,,,,,,,,,
0.027459194,1.085727635,,,,,,,,,,,,,
0.027446757,1.085819796,,,,,,,,,,,,,
0.027434146,1.085911879,,,,,,,,,,,,,
0.027421369,1.086003882,,,,,,,,,,,,,
0.027408452,1.08609586,,,,,,,,,,,,,
0.02739542,1.086187845,,,,,,,,,,,,,
0.027382276,1.086279808,,,,,,,,,,,,,
0.027369016,1.086371696,,,,,,,,,,,,,
0.027355643,1.086463466,,,,,,,,,,,,,
0.027342163,1.086555115,,,,,,,,,,,,,
0.027328545,1.086646573,,,,,,,,,,,,,
0.027314782,1.086737791,,,,,,,,,,,,,
0.027300888,1.086828765,,,,,,,,,,,,,
